order_id,order_date,status_raw,fulfilment,sales_channel,ship_service_level,style,sku,category,size,asin,courier_status,qty,amount,ship_city,ship_state,ship_postal_code,ship_country,is_b2b,status_group,is_cancelled,is_returned,is_delivered,unit_price,order_month,order_weekday,is_weekend,is_fba,is_easy_ship,promo_applied
405-8078784-5731545,2022-04-30 00:00:00,Cancelled,Merchant,Amazon.in,Standard,SET389,SET389-KR-NP-S,Set,S,B09KXVBD7Z,,0,647.62,Mumbai,Maharashtra,400081.0,IN,false,Cancelled,true,false,false,0.0,2022-04,Saturday,true,false,true,false
171-9198151-1101146,2022-04-30 00:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3781,JNE3781-KR-XXXL,kurta,3XL,B09K3WFS32,Shipped,1,406.0,Bengaluru,Karnataka,560085.0,IN,false,Delivered,false,false,true,406.0,2022-04,Saturday,true,false,true,true
404-0687676-7273146,2022-04-30 00:00:00,Shipped,Amazon,Amazon.in,Expedited,JNE3371,JNE3371-KR-XL,kurta,XL,B07WV4JV4D,Shipped,1,329.0,Navi Mumbai,Maharashtra,410210.0,IN,true,In Transit,false,false,false,329.0,2022-04,Saturday,true,true,false,true
403-9615377-8133951,2022-04-30 00:00:00,Cancelled,Merchant,Amazon.in,Standard,J0341,J0341-DR-L,Western Dress,L,B099NRCT7B,,0,753.33,Puducherry,Puducherry,605008.0,IN,false,Cancelled,true,false,false,0.0,2022-04,Saturday,true,false,true,false
407-1069790-7240320,2022-04-30 00:00:00,Shipped,Amazon,Amazon.in,Expedited,JNE3671,JNE3671-TU-XXXL,Top,3XL,B098714BZP,Shipped,1,574.0,Chennai,Tamil Nadu,600073.0,IN,false,In Transit,false,false,false,574.0,2022-04,Saturday,true,true,false,false
404-1490984-4578765,2022-04-30 00:00:00,Shipped,Amazon,Amazon.in,Expedited,SET264,SET264-KR-NP-XL,Set,XL,B08YN7XDSG,Shipped,1,824.0,Ghaziabad,Uttar Pradesh,201102.0,IN,false,In Transit,false,false,false,824.0,2022-04,Saturday,true,true,false,true
408-5748499-6859555,2022-04-30 00:00:00,Shipped,Amazon,Amazon.in,Expedited,J0095,J0095-SET-L,Set,L,B08CMHNWBN,Shipped,1,653.0,Chandigarh,Chandigarh,160036.0,IN,false,In Transit,false,false,false,653.0,2022-04,Saturday,true,true,false,true
406-7807733-3785945,2022-04-30 00:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3405,JNE3405-KR-S,kurta,S,B081WX4G4Q,Shipped,1,399.0,Hyderabad,Telangana,500032.0,IN,false,Delivered,false,false,true,399.0,2022-04,Saturday,true,false,true,true
407-5443024-5233168,2022-04-30 00:00:00,Cancelled,Amazon,Amazon.in,Expedited,SET200,SET200-KR-NP-A-XXXL,Set,3XL,B08L91ZZXN,Cancelled,0,0.0,Hyderabad,Telangana,500008.0,IN,false,Cancelled,true,false,false,0.0,2022-04,Saturday,true,true,false,true
402-4393761-0311520,2022-04-30 00:00:00,Shipped,Amazon,Amazon.in,Expedited,JNE3461,JNE3461-KR-XXL,kurta,XXL,B08B3XF5MH,Shipped,1,363.0,Chennai,Tamil Nadu,600041.0,IN,false,In Transit,false,false,false,363.0,2022-04,Saturday,true,true,false,false
407-5633625-6970741,2022-04-30 00:00:00,Shipped,Amazon,Amazon.in,Expedited,JNE3160,JNE3160-KR-G-S,kurta,S,B07K3YQLF1,Shipped,1,685.0,Chennai,Tamil Nadu,600073.0,IN,false,In Transit,false,false,false,685.0,2022-04,Saturday,true,true,false,false
171-4638481-6326716,2022-04-30 00:00:00,Shipped,Amazon,Amazon.in,Expedited,JNE3500,JNE3500-KR-XS,kurta,XS,B098117DJ3,Shipped,1,364.0,Noida,Uttar Pradesh,201303.0,IN,false,In Transit,false,false,false,364.0,2022-04,Saturday,true,true,false,false
405-5513694-8146768,2022-04-30 00:00:00,Shipped - Delivered to Buyer,Merchant,Amazon.in,Standard,JNE3405,JNE3405-KR-XS,kurta,XS,B081XCMYXJ,Shipped,1,399.0,Amravati.,Maharashtra,444606.0,IN,false,Delivered,false,false,true,399.0,2022-04,Saturday,true,false,true,true
408-7955685-3083534,2022-04-30 00:00:00,Shipped,Amazon,Amazon.in,Expedited,SET182,SET182-KR-DH-XS,Set,XS,B085HS947T,Shipped,1,657.0,Mumbai,Maharashtra,400053.0,IN,false,In Transit,false,false,false,657.0,2022-04,Saturday,true,true,false,false
